news_headline,news_article,news_category
"Olympic silver medallist Mirabai meets Salman, gifts him stole with sangai deer on it","Actor Salman Khan took to Twitter to share a photo of himself with Olympic silver medalist Mirabai Chanu. Sharing a picture, Salman wrote, ""Happy for you silver medalist...lovely meeting with you...best wishes always!"" Mirabai gifted Salman a stole with a sangai deer (state animal of Manipur) imprinted on it. She termed her meeting with Salman ""a dream come true"".",sports
Olympic hat-trick scorer hockey player Vandana breaks down as she hugs mother,"Vandana Katariya, the Indian women hockey player and hat-trick scorer in Tokyo Olympics, broke down as she hugged her mother on arrival at their residence in Haridwar, Uttarakhand. Vandana became the first Indian woman hockey player to score an Olympic hat-trick as India beat South Africa by 4-3 at Tokyo Olympics. Three months ago, she couldn't attend her father’s funeral.",sports
They were slippery: Runner who knocked over water bottles during marathon at Olympics,"French runner Morhad Amdouni, who knocked over a row of water bottles before grabbing the last one during men's marathon at Tokyo Olympics, has denied doing it on purpose. He was accused of poor sportsmanship as runners behind him were left with no water. Morhad said that the bottles were slippery and they slid as he tried to grab one.",sports
"Chinese state media morphs Olympics medal tally to show China on top, trolled","China Central Television (CCTV) morphed the Tokyo Olympics medal tally to show China on top with 42 gold medals. CCTV included medals won by Taiwan and Hong Kong in its tally. As per the official tally, China won 38 golds, while USA were on top with 39 gold medals. ""China's so insecure,"" a user wrote. ""Probably Chinese math,"" wrote another.",sports
"World Athletics names 10 'magical moments' from Tokyo Olympics, includes Neeraj's win","Indian javelin thrower Neeraj Chopra's gold medal win has been featured in the World Athletics' 10 'magical moments' from Tokyo Olympics. It also includes high jumpers, Italy's Gianmarco Tamberi and Qatar's Mutaz Barshim, sharing their gold medal. Other moments include US shot-putter Ryan Crouser dedicating his gold to his late grandfather and sprinter Andre De Grasse's video call with family.",sports
Japan athlete's Olympic gold medal to be replaced after mayor bites it amid COVID-19,"Japanese athlete Miu Goto will have her medal replaced with a fresh one after the mayor of her hometown was seen biting it amid COVID-19, Tokyo 2020 organisers said. Mayor Takashi Kawamura was criticised on social media for disregarding coronavirus etiquette. He had earlier apologised, saying, ""I forgot my position as Nagoya mayor and acted in an extremely inappropriate way.""",sports
Olympic gold winner tracks down woman who helped him when he reached wrong venue,"Jamaican hurdler Hansle Parchment tracked down and thanked a woman, a Tokyo 2020 volunteer, who paid for his taxi to the Olympic Stadium, where he won gold medal in 110m hurdles final. Parchment had reached the wrong venue last Thursday when he got on the wrong coach. Parchment thanked her and showed her the gold medal.",sports
"2-yr-old boy invades pitch during football match in US, mother slips while chasing him","A video of a two-year-old boy invading pitch during a Major League Soccer match between FC Cincinnati and Orlando City went viral. In the video, the boy's mother can be seen chasing him and slipping in the process. ""The way he looks over his shoulder to check if his mom is following him is freaking hilarious,"" a YouTube user commented.",sports
Lionel Messi to be partly paid in crypto fan tokens at Paris Saint-Germain,"Six-time Ballon d'Or winner Lionel Messi, who recently joined Paris Saint-Germain on a two-year deal, will receive cryptocurrency '$PSG Fan Tokens' as a part of his financial package, the club said. Earlier, the token's value surged over 130% in five days amid speculation over Messi's arrival. Trading volumes exceeded $1.2 billion in the days preceding the move, PSG claimed.",sports
Ravi Shastri to part ways with Team India after T20 World Cup 2021: Reports,"Head coach Ravi Shastri will part ways with Team India by not renewing his contract after upcoming T20 World Cup, Indian Express reported. Shastri first took over the team in 2014 as director till T20 World Cup 2016 after which Anil Kumble was appointed for a year. Shastri was made full-time coach in 2017 after India's Champions Trophy final defeat.",sports
"Latest rankings for Test batsmen out, Kohli drops to fifth","The ICC today released the latest rankings for Test batsmen, with three Indians in the top 10. Team India captain Virat Kohli dropped down one place to be ranked fifth. Rohit Sharma and Rishabh Pant are ranked sixth and seventh respectively. England captain Joe Root moved up one place to the fourth position.",sports
"Olympic silver medallist Mirabai Chanu meets Sachin Tendulkar, shares pics","Mirabai Chanu, the first Indian weightlifter to win a silver medal at Olympics, met cricket legend Sachin Tendulkar today. She took to Twitter to share pictures from their meet and wrote, ""Loved meeting Sachin sir! His words of wisdom & motivation shall always stay with me. Really inspired."" Sachin tweeted, ""You've got places to go in coming years...keep working hard.""",sports
"US sprinter Burrell, son of Olympic champs, dies at 26 in unexplained car park incident","American sprinter Cameron Burrell, son of Olympic gold medallists Leroy Burrell and Michelle Finn-Burrell, died aged 26 in an unexplained car park incident. ""We're profoundly grief-stricken and thank everyone for...outpouring of prayers. We'll forward more information when it's available,"" Leroy said. Cameron Burrell had won several golds at junior and senior competitions between 2011 and 2018.",sports
"In 2002, I asked ‘What will a laptop do in dressing room’: Sachin Tendulkar","Ex-India batsman Sachin Tendulkar said when a laptop was brought to Team India dressing room in 2002, he asked, ""What will a laptop do in the dressing room?"" ""Over a period of time, there was acceptance. Only if there is acceptance, will there be adaptability. Our team meetings started to be more precise,"" he added about how technology ""changed everything"".",sports
Langer involved in confrontation with CA staff member over B'desh video: Reports,Australia head coach Justin Langer and team manager Gavin Dovey were reportedly involved in heated confrontation with a Cricket Australia (CA) staff member about a video showing Bangladesh celebrating their series win. Dovey argued it was inappropriate for Bangladesh team song to be posted on a CA-operated website. The confrontation escalated when the staffer stood their ground over the issue.,sports
Manpreet Singh shares pic of his mother wearing his Olympic bronze medal,"Indian men's hockey team captain Manpreet Singh took to Twitter to share a picture of his mother wearing his Olympic bronze medal. He wrote, ""Just seeing her smile and knowing how proud she is of me brings a smile to my face too...won’t be here today without her."" Manpreet led the team to their first Olympic medal in 41 years.",sports
"Broad shares pic after being ruled out of Tests, says 'Things can change so quickly'","England pacer Stuart Broad took to Instagram to share a post after being ruled out of the Test series against India due to calf injury. Revealing that he sustained the injury after jumping a hurdle in training, Broad said, ""Things can change so quickly...Season over & gutted to miss this India Test Series but a huge focus on Australia now.""",sports
"Messi gives thumbs up to Malayali fans after joining PSG in Paris, video goes viral","A video of six-time Ballon d'Or winner Lionel Messi giving thumbs up to Malayali fans after joining PSG in Paris has gone viral. In the video, a Malayali fan can be heard shouting 'Messi! Messi!' from a hotel balcony. ""Oh my God! I can't believe this! My hands are shaking...Nothing would beat this in my life!"" he says.",sports
"Latest rankings for Test bowlers out, Bumrah jumps 10 spots","The ICC today released the latest rankings for Test bowlers. Jasprit Bumrah, who took 9 wickets in the first Test against England at Trent Bridge in Nottingham, jumped 10 spots to return to the top 10. Ravichandran Ashwin remains the top-ranked Indian at second position in the rankings. England's James Anderson and Stuart Broad are ranked seventh and eighth respectively.",sports
"England, India docked 2 WTC points for slow over-rate, players fined 40% of match fee","Both England and India have been docked two points each on World Test Championship (WTC) points table for slow over-rate in the first Test at Trent Bridge in Nottingham. Apart from the point deduction, both the teams have been fined 40% of their match fee by referee Chris Broad. Both the teams now have two points each in WTC.",sports
US treating Pakistan differently after partnering with India: Pak PM Imran Khan,"Pakistan PM Imran Khan has said that US is treating the country differently after partnering with India. He further said that US sees Pakistan as ""useful"" only for clearing the ""mess"" it has left behind in Afghanistan. Meanwhile, Pakistan's National Security Adviser Moeed Yusuf said that the country has other options if the US continues to ignore its leadership.",world
Pakistan Navy left with only two submarines on active duty: Report,"The Pakistan Navy is left with only two submarines on active duty, Times Now exclusively reported. Three of the five Agosta class submarines that Pakistan has are either being upgraded or have defects, making them unfit for the sea, it added. Besides submarines, three major surface warships have varying difficulties, Times Now reported.",world
Pumpkin sculpture installed on Japanese island since 1994 damaged by typhoon,A giant black and yellow polka-dotted pumpkin by artist Yayoi Kusama which was installed on the Japanese island of Naoshima in 1994 has been damaged by a typhoon. Video showing the tourist attraction being tossed around was shared on social media. Experts are determining whether it is possible to reconstruct the sculpture.,world
Russia's richest politician Igor Redkin kills man after mistaking him for a brown bear,Russia's richest politician Igor Redkin has admitted to killing a man he says he mistook for a brown bear. The 55-year-old said that he had heard there was a bear at the rubbish dump in the village of Ozernovsky in Kamchatka. Redkin has been placed under house arrest for two months while the investigation is under way.,world
"Man illegally lands helicopter in Canada town centre to buy ice-cream cake, pic surfaces","A man illegally landed his helicopter and parked it in centre of a town called Tisdale in Canada to buy an ice-cream cake. Initially, residents thought the chopper, painted the same colour as the province’s air ambulances, was on the scene for a medical emergency. Police determined the 34-year-old pilot's journey to Dairy Queen wasn't ""an emergency"" and charged him. ",world
Afghanistan govt offers Taliban power-sharing deal to end violence: Report,"Afghanistan government negotiators in Qatar have offered the Taliban a power-sharing deal in return for an end to fighting in the country, a government negotiating source told AFP on Thursday. ""Yes, the government has submitted a proposal to Qatar as mediator,"" AFP quoted the source as saying. Taliban has taken control of 10 provincial capitals so far. ",world
"3,99,10,000-kg ship splits into two, spills oil off coast of Japan; pics surface","A Panamanian-registered ship ran aground in a northern Japan harbour, split in two and was leaking oil, but there were no injuries and the oil leak was being controlled, the Japan Coast Guard said. The 39,910-tonne (3,99,10,000-kg) vessel was carrying wood chips. It managed to free itself, but due to poor weather was unable to move far.",world
8 feared dead as helicopter crashes in volcanic crater lake in Russia,"Eight people were feared dead after a helicopter carrying 16 people, most of them tourists, crashed into a volcanic crater lake on the Kamchatka peninsula in Russia on Thursday. The aircraft reportedly sank after the crash and was lying at a depth of 100 meters in Lake Kuril. The eight other people on board the Mi-8 helicopter survived the crash.",world
California 1st US state to order teachers to get vaccine or test,"California has become the first US state to require teachers and other school staff to be vaccinated or get regularly tested for COVID-19. ""We think this is the right thing to do and...is a sustainable way to keeping our schools open and to address...number one anxiety that parents like myself have for young children,"" state's Governor Gavin Newsom said. ",world
"US, India, Brazil reported most number of COVID-19 cases last week: WHO","The World Health Organization (WHO) said the US, India, Iran, Brazil and Indonesia reported the most number of COVID-19 cases last week. While India, Brazil and Indonesia witnessed a decline in infections from the previous week, the US recorded a 35% increase in new infections. The Delta variant was reported from seven additional countries last week, the WHO report said.",world
Vietnamese man arrested for selling fake COVID-19 test certificates,"Vietnam police have arrested a businessman for making and selling fake negative COVID-19 test certificates. Tran Tuan Duong was arrested while selling six certificates to a client for one million dong ($43.86) on Wednesday, police said. The 34-year-old has confessed to selling around 150 such documents, they added. The arrest comes as the country battles its worst COVID-19 outbreak yet. ",world
New Zealand borders to remain closed this year: PM Ardern,"New Zealand PM Jacinda Ardern said that the country's borders will remain closed until at least the end of the year. ""We're simply not in a position to fully reopen...yet...rushing could see us in the situation many other countries are finding themselves in,"" Ardern added. The country would look to reopen in 2022 in a phased manner, she further said. ",world
Taliban seizes attack helicopter that India gifted to Afghanistan; video surfaces,"The Taliban has seized one of the four attack helicopters that India gifted to Afghanistan in 2019. A video and pictures posted on Twitter by Joseph Dempsey, a Research Associate at International Institute for Strategic Studies, showed Taliban militants standing next to the attack helicopter. The helicopters were given under a deal between Afghanistan and Belarus, but financed by India.",world
Afghan forces arrest Ghazni Governor after Taliban captures the city,"Afghan security forces have arrested Ghazni Governor, Dawood Laghmani, and his deputy on Thursday, the Interior Ministry said. The arrest comes after a video reportedly showed Laghmani fleeing the Ghazni city once it fell to the Taliban. Ghazni provincial council member Amanullah Kamrani alleged that Laghmani and police chief made a deal with the Taliban to flee after their surrender.",world
Rectify your wrong decision: China to Lithuania over Taiwan office row,"China has demanded that Lithuania recall its Beijing envoy after Lithuania allowed China-claimed Taiwan to open a diplomatic office in Vilnius under the name ""Taiwan"" instead of ""Taipei"". China asked Lithuania ""not to move further down the wrong path"" while asking it to ""rectify its wrong decision"". Lithuania, however, said it is determined to develop mutually beneficial relations with Taiwan.",world
"Taliban frees 1,000 criminals from jails after capturing Afghan cities","The Taliban insurgents have reportedly released nearly 1,000 criminals from jails in at least six Afghan cities that the group captured in recent days. Most of these criminals were reportedly sentenced on criminal charges, including drug smuggling, kidnapping, and armed robbery. However, the Afghan government has said that once the terrorists are captured, the prisoners will be arrested again.",world
Tanzania suspends newspaper for story on President it calls 'false',"The Tanzanian government has suspended a local newspaper for running a ""false"" story, saying that President Samia Suluhu Hassan will not contest in the 2025 Presidential elections. President Hassan  hasn't made any such comments, chief spokesperson Gerson Msigwa said. The suspension would last for 14 days, and the newspaper, Uhuru, can file an appeal to the Information Minister, Msigwa added.",world
"British-flagged vessel sinks in Greece, all 17 onboard rescued","All 17 people aboard a British-flagged vessel that sank on Thursday off the Greek island of Milos have been rescued, the coast guard said. The passengers and crew members onboard the 30-metre vessel were all Greek. Two helicopters, three coast guard patrol boats as well as one private boat assisted the rescue operation, the coast guard added. ",world
Russia announces new criminal charge against Putin critic Navalny,Russia has levied new criminal charges against President Vladimir Putin's jailed critic Alexey Navalny for establishing an organisation that incited Russians to break the law. Investigative Committee said that Navalny and his allies used his Anti-Corruption Foundation to call on Russians to take part in unauthorised protests in January. The crime is punishable by up to three years in jail.,world
Taliban captures ninth provincial capital in Afghanistan in a week,"Taliban insurgents captured the Ghazni city on Thursday, the ninth provincial capital they've seized in a week. They have seized some key government offices and the police headquarters in Ghazni. It comes as US defence officials have said the Taliban could isolate Afghanistan capital, Kabul, within 30 days and possibly overrun it within 90 days, following their recent rapid gains.",world
Punjab Congress chief Navjot Singh Sidhu appoints four advisors,"Punjab Congress chief Navjot Singh Sidhu has appointed four advisors, including former IAS officer Dr Amar Singh and former IPS officer Mohammad Mustafa. Sidhu also appointed Pyare Lal Garg, a health activist, and political analyst Malwinder Singh Mali as his advisors. Sidhu took charge as the President of the Punjab Pradesh Congress Committee (PPCC) last month.",politics
"Delhi CM Kejriwal, Sisodia, 9 AAP MLAs discharged in Chief Secretary assault case","A Delhi court has discharged Delhi CM Arvind Kejriwal, Deputy CM Manish Sisodia and nine others in a 2018 case of alleged assault on then Chief Secretary Anshu Prakash. The court, however, ordered the framing of charges against AAP MLAs Amanatullah Khan and Prakash Jarwal. ""It's a day of victory of justice...It was a conspiracy hatched against CM,"" said Sisodia.",politics
"Mandaviya says govt asked Delhi for data on deaths due to oxygen shortage, shares proof","Health Minister Mansukh Mandaviya said Delhi was asked to share data on deaths due to oxygen shortage amid COVID-19, however, it hadn't done so. ""Here's the copy of...mail sent by my Ministry,"" he tweeted. This comes after Delhi Deputy CM Manish Sisodia alleged that Delhi government hadn't received any letter from Centre inquiring about deaths due to oxygen shortage.",politics
Official Twitter account of Congress locked; party shares screenshot,"The Congress took to Instagram to share a screenshot and wrote, ""The official Twitter account of Congress has been locked."" Earlier, Congress alleged that Twitter accounts of five senior party leaders, including Randeep Surjewala and Ajay Maken, have also been locked. On Wednesday, Twitter said it locked Rahul Gandhi's account after post revealing identity of Delhi rape victim's family.",politics
Our rules are enforced judiciously: Twitter on locking Congress' official account,"After official Twitter accounts of Congress and several of its party leaders were locked, Twitter said in a statement that its rules are ""enforced judiciously and impartially for everyone"". ""We've taken proactive action on several hundred tweets that posted an image that violated our rules, and may continue to do so,"" it added. Earlier, Twitter locked Rahul Gandhi's account.",politics
"Rahul's account locked, post revealing identity of rape victim's family removed: Twitter","Twitter has informed Delhi High Court that Congress leader Rahul Gandhi's tweet revealing the identity of the alleged nine-year-old rape-murder victim's family in Delhi violated its policy. ""We have already removed that tweet and his Twitter account is also been locked,"" the microblogging site said. The court was hearing a PIL seeking direction to police to take action against Rahul.",politics
Cong MP injured in ruckus in Parliament: Party's RS whip Chhaya Verma,"Congress MP and new Rajya Sabha whip Chhaya Verma on Thursday said the party's one MP was injured during a ruckus in the Upper House. ""[MPs] were manhandled. Ask Piyush Goyal what's the point of deploying so many marshals in the House. Why would I apologise?"" Verma said. Running Parliament proceedings is the government's responsibility, she added. ",politics
MP Police lathicharge on Youth Cong workers marching to gherao CM's house,"Police on Wednesday lathicharged and used water cannons to disperse thousands of Youth Congress workers marching to gherao the Madhya Pradesh CM's Bhopal residence. The workers were protesting against inflation and unemployment and in support of the OBC reservation. National Youth Congress President Srinivas BV, state President Vikrant Bhuria and MLA Jaivardhan Singh, among others were detained.",politics
"Venkaiah Naidu breaks down over ruckus in Rajya Sabha, says had sleepless night","Rajya Sabha Chairman M Venkaiah Naidu broke down as he condemned the ruckus that erupted in the Upper House yesterday. He said, ""I've no words to convey my anguish and to condemn such acts as I spent a sleepless night."" He added, ""I struggle to find out the provocation for forcing this august House to hit such a low yesterday.""",politics
"RS members beaten, this is nothing short of murder of democracy: Rahul","Members of the Rajya Sabha were manhandled and physically beaten yesterday for the first time in the history of our country, Congress leader Rahul Gandhi said on Thursday. ""This was nothing short of murder of democracy,"" Gandhi added. ""We (Opposition) are not allowed to speak in the Parliament. This is a murder of democracy,"" Gandhi said earlier today.",politics
Cong leaders change Twitter names to Rahul amid locked accounts row ,"Several Congress leaders like Srinivas BV, Alka Lamba and Ali Mehdi changed their Twitter names to former party President Rahul Gandhi after his account was locked. They also uploaded Rahul's picture as their profile image. Separately, Rahul's sister and Congress leader Priyanka Gandhi Vadra used his image as her display picture. Earlier, Congress claimed its official Twitter account was locked. ",politics
"Opp'n shedding crocodile tears, must apologise: Thakur on Parliament ruckus","Union Minister Anurag Thakur on Thursday criticised the Opposition for creating ruckus during Monsoon Session that forced Parliament to close two days early. ""Instead of shedding crocodile tears, [the Opposition] must apologise to the nation,"" Thakur said. ""Secretary General's table in Rajya Sabha is not meant for dancing and protesting,"" the Minister further added.",politics
9 properties of Kashmiri Hindus given to original owners: Govt,"Nine properties of Kashmiri Hindu migrants, who were forced to leave Kashmir decades ago in wake of terrorist attacks, have been restored to their original owners, MoS (Home) Nityanand Rai said on Wednesday. He added that after the abrogation of Article 370 in August 2019, 520 migrants returned to Kashmir and took up jobs under the PM's scheme. ",politics
Never saw the way women MPs were attacked today in my 55-yr career: Pawar,"NCP's Sharad Pawar said, ""In my 55 years of parliamentary career, I never saw the way the women MPs were attacked today (in Rajya Sabha).""  He added, ""Over 40 men and women were brought into the House from outside."" Meanwhile, Leader of the House Piyush Goyal blamed the Opposition and said, ""Attempts were made to strangulate a woman security staff.""",politics
AIADMK leaders booked for violating COVID-19 rules near Velumani's house,The Tamil Nadu Police on Wednesday booked 10 AIADMK legislators and three ex-MLAs for flouting COVID-19 norms and assembling in front of the residence of former minister SP Velumani. The AIADMK leaders had gathered to protest a raid against Velumani by the Directorate of Vigilance and Anti-Corruption (DAVC) on Tuesday. They were booked in three separate cases.,politics
Not seeking YSRCP alliance as it's anti-Hindu: BJP AP in-charge,"Andhra Pradesh BJP in-charge, Sunil Deodhar said that BJP was not seeking an alliance with YSRCP as the AP government has been following ""anti-people and anti-Hindu"" policies. His response comes over reports that YSRCP was offered ministerial berths in Union Cabinet. YSRCP's V Vijayasai Reddy had earlier said that there were discussions between the two parties on them joining Centre.",politics
"PM Modi, Sonia Gandhi meet Speaker after Lok Sabha adjournment","PM Narendra Modi, Congress interim chief Sonia Gandhi, Home Minister Amit Shah and other MPs from TMC, SAD, YSRCP, BJD, etc. met Lok Sabha Speaker Om Birla on Wednesday after the House was adjourned indefinitely. Birla reportedly urged leaders to encourage debate, adding that it's the only way to serve people. Lok Sabha was adjourned two days before the schedule. ",politics
"Punjab CM meets PM, seeks immediate steps for repeal of farm laws","Punjab CM Captain Amarinder Singh met PM Narendra Modi in Delhi on Wednesday and urged him to take immediate steps to repeal the three farm laws. He said the new farm laws have triggered widespread resentment among farmers of Punjab and other states. Amarinder added that the agitation had the potential of posing security threats to Punjab and the country.
",politics
Restore J&K statehood ahead of polls there: Rashtra Manch,"Former Union Minister Yashwant Sinha-led Rashtra Manch on Wednesday demanded the full restoration of Jammu and Kashmir (J&K)'s statehood before free and fair elections there. Rashtra Manch said, ""Two years have passed since the Union Government annulled Article 370…and Article 35A...These actions and the utterly undemocratic manner in which they were taken have caused a deep sense of hurt.""",politics
Ajit Pawar seeks PM's intervention in Maharashtra-K'taka border row,"Maharashtra Deputy CM Ajit Pawar has written to PM Narendra Modi seeking his intervention to resolve the state's boundary dispute with Karnataka. Pawar appealed to PM Modi to take the lead in stopping the Karnataka government's ""atrocities"" on Marathi-speaking people and include the disputed areas in Maharashtra. Mumbai Mayor also wrote to the PM on Monday regarding the same issue.",politics
